,FOOD NAME,GROUP
323,Natal plum,Fruits
324,Carob,Vegetables
325,Common carp,Aquatic foods
326,Cassava,Vegetables
327,Channel catfish,Aquatic foods
328,Chayote,Gourds
329,Cherimoya,Fruits
330,Chervil,Herbs and Spices
331,Chia,Herbs and Spices
332,"Chicken (Cock, Hen, Rooster)",Animal foods
333,Chinese broccoli,Vegetables
334,Chinese chestnut,Nuts
335,Chinese water chestnut,Vegetables
336,Garland chrysanthemum,Vegetables
337,Cisco,Aquatic foods
338,Nuttall cockle,Aquatic foods
339,Coconut,Fruits
340,Pacific cod,Aquatic foods
341,Atlantic cod,Aquatic foods
342,Common octopus,Aquatic foods
343,Corn salad,Vegetables
344,Cottonseed,Herbs and Spices
345,Catjang pea,Pulses
346,Malus (Crab apple),Fruits
347,Squashberry,Fruits
348,Atlantic croaker,Aquatic foods
349,Cusk,Aquatic foods
350,Cuttlefish,Aquatic foods
351,Mule deer,Animal foods
352,Devilfish,Aquatic foods
353,Dock,Herbs and Spices
354,Dolphin fish,Aquatic foods
355,Freshwater drum,Aquatic foods
356,Mallard duck,Animal foods
357,Dungeness crab,Aquatic foods
358,Durian,Fruits
359,Eastern oyster,Aquatic foods
360,Freshwater eel,Aquatic foods
361,Elderberry,Fruits
362,Elk,Animal foods
363,Emu,Animal foods
364,Oregon yampah,Vegetables
365,European anchovy,Aquatic foods
366,European chestnut,Nuts
367,Turbot,Aquatic foods
368,Fireweed,Herbs and Spices
369,Florida pompano,Aquatic foods
370,Ginkgo nuts,Herbs and Spices
371,Greylag goose,Animal foods
372,Grape,Fruits
373,Greenland halibut/turbot,Aquatic foods
374,Groundcherry,Vegetables
375,Grouper,Aquatic foods
376,Guinea hen,Animal foods
377,Haddock,Aquatic foods
378,Hippoglossus (Common halibut),Aquatic foods
379,Hazelnut,Nuts
380,Hickory nut,Nuts
381,Horse,Animal foods
382,Horseradish tree,Vegetables
383,Alaska blueberry,Fruits
384,Hyacinth bean,Pulses
385,Irish moss,Aquatic foods
386,Pacific jack mackerel,Aquatic foods
387,Jackfruit,Fruits
388,Japanese chestnut,Nuts
389,Java plum,Fruits
390,Jerusalem artichoke,Vegetables
391,Jujube,Fruits
392,Jute,Vegetables
393,Kale,Vegetables
394,Kelp,Aquatic foods
395,King mackerel,Aquatic foods
396,Kumquat,Fruits
397,Lambsquarters,Vegetables
398,Leather chiton,Aquatic foods
399,Wild leek,Vegetables
400,Common ling,Aquatic foods
401,Lingcod,Aquatic foods
402,American lobster,Aquatic foods
403,Loganberry,Fruits
404,Lotus,Herbs and Spices
405,Sacred lotus,Vegetables
406,White lupine,Pulses
407,Malabar spinach,Vegetables
408,Mammee apple,Fruits
409,Purple mangosteen,Fruits
410,Alpine sweetvetch,Vegetables
411,Milkfish,Aquatic foods
412,Monkfish,Aquatic foods
413,Moose,Animal foods
414,Moth bean,Pulses
415,Mountain yam,Vegetables
416,Striped mullet,Aquatic foods
417,Muskrat,Animal foods
418,White mustard,Herbs and Spices
419,Mustard spinach,Vegetables
420,New Zealand spinach,Vegetables
421,Nopal,Vegetables
422,Ocean pout,Aquatic foods
423,North Pacific giant octopus,Aquatic foods
424,Ohelo berry,Fruits
425,Okra,Vegetables
426,Tunicate,Aquatic foods
427,Opossum,Animal foods
428,Ostrich,Animal foods
429,Spotted seal,Aquatic foods
430,Pacific herring,Aquatic foods
431,Pacific oyster,Aquatic foods
432,Pacific rockfish,Aquatic foods
433,Velvet duck,Animal foods
434,Pepper (C. frutescens),Vegetables
435,Common persimmon,Fruits
436,Pheasant,Animal foods
437,Northern pike,Aquatic foods
438,Pili nut,Nuts
439,Colorado pinyon,Nuts
440,Pitanga,Fruits
441,Plains prickly pear,Fruits
442,French plantain,Fruits
443,American pokeweed,Vegetables
444,Polar bear,Animal foods
445,Opium poppy,Herbs and Spices
446,Prairie turnip,Vegetables
447,Prickly pear,Fruits
448,Quinoa,Herbs and Spices
449,European rabbit,Animal foods
450,Raccoon,Animal foods
451,Rainbow smelt,Aquatic foods
452,Rainbow trout,Aquatic foods
453,Malabar plum,Fruits
454,Rose hip,Herbs and Spices
455,Roselle,Herbs and Spices
456,Orange roughy,Aquatic foods
457,Sablefish,Aquatic foods
458,Pink salmon,Aquatic foods
459,Chum salmon,Aquatic foods
460,Coho salmon,Aquatic foods
461,Sockeye salmon,Aquatic foods
462,Chinook salmon,Aquatic foods
463,Atlantic salmon,Aquatic foods
464,Salmonberry,Fruits
465,Common salsify,Vegetables
466,Sapodilla,Fruits
467,Mamey sapote,Fruits
468,Spanish mackerel,Aquatic foods
469,Pacific sardine,Aquatic foods
470,Scallop,Aquatic foods
471,Scup,Aquatic foods
472,Sea cucumber,Aquatic foods
473,Steller sea lion,Aquatic foods
474,Bearded seal,Aquatic foods
475,Ringed seal,Aquatic foods
476,Seatrout,Aquatic foods
477,Sesbania flower,Vegetables
478,American shad,Aquatic foods
479,Shark,Aquatic foods
480,Sheefish,Aquatic foods
481,"Sheep (Mutton, Lamb)",Animal foods
482,Sheepshead,Aquatic foods
483,Hedge mustard,Herbs and Spices
484,Skipjack tuna,Aquatic foods
485,Snapper,Aquatic foods
486,Soursop,Fruits
487,Spelt,Cereals and cereal products
488,Spirulina,Aquatic foods
489,Squab,Animal foods
490,Squirrel,Animal foods
491,Strawberry guava,Fruits
492,Greater sturgeon,Aquatic foods
493,White sucker,Aquatic foods
494,Sugar apple,Fruits
495,Pumpkinseed sunfish,Aquatic foods
496,Swordfish,Aquatic foods
497,Taro,Vegetables
498,Teff,Herbs and Spices
499,Tilefish,Aquatic foods
500,Mexican groundcherry,Vegetables
501,Towel gourd,Gourds
502,"Salmonidae (Salmon, Trout)",Aquatic foods
503,Turkey,Animal foods
504,"Cattle (Beef, Veal)",Animal foods
505,Walleye,Aquatic foods
506,Alaska pollock,Aquatic foods
507,Wasabi,Herbs and Spices
508,Wax gourd,Gourds
509,Whelk,Aquatic foods
510,Coalfish pollock,Aquatic foods
511,Broad whitefish,Aquatic foods
512,Whitefish,Aquatic foods
513,Whiting,Aquatic foods
514,Wild rice,Cereals and cereal products
515,Tea leaf willow,Herbs and Spices
516,Winged bean,Pulses
517,Yam,Vegetables
518,Jicama,Vegetables
519,Yautia,Vegetables
520,Yellowfin tuna,Aquatic foods
521,Yellowtail amberjack,Aquatic foods
522,Pollock,Aquatic foods
523,Albacore tuna,Aquatic foods
524,Gadus (Common cod),Aquatic foods
525,Atlantic halibut,Aquatic foods
526,Pacific halibut,Aquatic foods
527,Pacific salmon,Aquatic foods
528,Smelt,Aquatic foods
529,"Clupeinae (Herring, Sardine, Sprat)",Aquatic foods
530,Spiny lobster,Aquatic foods
531,Snow crab,Aquatic foods
532,Black-eyed pea,Pulses
533,Deer,Animal foods
534,Macadamia nut,Nuts
535,Percoidei (Bass and others),Aquatic foods
536,Perciformes (Perch-like fishes),Aquatic foods
537,Arctic ground squirrel,Animal foods
538,Rabbit,Animal foods
539,Domestic goat,Animal foods
540,Beefalo,Animal foods
541,Antelope,Animal foods
542,"Bivalvia (Clam, Mussel, Oyster)",Aquatic foods
543,Squid,Aquatic foods
544,Shrimp,Aquatic foods
545,Crayfish,Aquatic foods
546,Flatfish,Aquatic foods
547,"Domestic pig (Piglet, Pork)",Animal foods
548,Walrus,Aquatic foods
549,Alaska wild rhubarb,Vegetables
550,Oriental wheat,Cereals and cereal products
551,Yardlong bean,Pulses
552,Great horned owl,Animal foods
553,Quail,Animal foods
554,Boysenberry,Fruits
555,Persian lime,Fruits
556,Feijoa,Fruits
557,Rowal,Herbs and Spices
558,Jew's ear,Vegetables
559,Common mushroom,Vegetables
560,Shiitake,Vegetables
561,Purple laver,Aquatic foods
562,Wakame,Aquatic foods
563,Enokitake,Vegetables
564,Epazote,Herbs and Spices
565,Oyster mushroom,Vegetables
566,Cloud ear fungus,Vegetables
567,Maitake,Vegetables
568,Ostrich fern,Vegetables
569,Spot croaker,Aquatic foods
570,Sourdock,Herbs and Spices
571,Tinda,Gourds
572,Atlantic menhaden,Aquatic foods
573,Wheat,Cereals and cereal products
574,Common chokecherry,Fruits
575,Agave,Vegetables
576,Narrowleaf cattail,Vegetables
577,Jellyfish,Aquatic foods
578,Anchovy,Aquatic foods
579,Blue whiting,Aquatic foods
580,Carp bream,Aquatic foods
581,Chanterelle,Vegetables
582,Sturgeon,Aquatic foods
583,Charr,Aquatic foods
584,Cinnamon,Herbs and Spices
585,Crab,Aquatic foods
586,Common dab,Aquatic foods
587,Spiny dogfish,Aquatic foods
588,"Anatidae (Duck, Goose, Swan)",Animal foods
589,Anguilliformes (Eel),Aquatic foods
590,True frog,Aquatic foods
591,Garfish,Aquatic foods
592,"Gadiformes (Cod, Hake)",Aquatic foods
593,Mountain hare,Animal foods
594,Lake trout,Aquatic foods
595,Lemon sole,Aquatic foods
596,Clawed lobster,Aquatic foods
597,Lumpsucker,Aquatic foods
598,"Scombridae (Bonito, Mackerel, Tuna)",Aquatic foods
599,Marine mussel,Aquatic foods
600,Norway haddock,Aquatic foods
601,Norway lobster,Aquatic foods
602,Norway pout,Aquatic foods
603,Oil palm,Herbs and Spices
604,True oyster,Aquatic foods
605,Sago palm,Herbs and Spices
606,Persimmon,Fruits
607,Pikeperch,Aquatic foods
608,"Pleuronectidae (Dab, Halibut, Plaice)",Aquatic foods
609,Rock ptarmigan,Animal foods
610,Pacific ocean perch,Aquatic foods
